,Icon,Precipitation,Temperature,Summary
2012-07-28,partly-cloudy-day,0,80.47,Partly Cloudy
2012-07-29,partly-cloudy-day,0,83.68,Mostly Cloudy
2012-08-01,partly-cloudy-day,0,85.28,Mostly Cloudy
2012-08-10,partly-cloudy-day,0,72.94,Mostly Cloudy
2012-08-11,partly-cloudy-day,0,75.74,Partly Cloudy
2012-08-12,partly-cloudy-day,0,75.32,Mostly Cloudy
2012-08-15,partly-cloudy-day,0,84.28,Partly Cloudy
2012-08-24,partly-cloudy-day,0,91.57,Partly Cloudy
2012-08-25,partly-cloudy-day,0,91.58,Partly Cloudy
2012-08-26,rain,0.0753,72.29,Light Rain
2012-08-30,clear-day,0,86.2,Clear
2012-08-31,partly-cloudy-day,0,91.61,Mostly Cloudy
2012-09-01,cloudy,0.0087,73.35,Overcast
2012-09-02,cloudy,0,77.04,Overcast
2012-09-14,partly-cloudy-day,0,71.73,Partly Cloudy
2012-09-15,clear-day,0,76.03,Clear
2012-09-16,partly-cloudy-day,0,75.35,Partly Cloudy
2012-09-20,partly-cloudy-day,0,69.47,Partly Cloudy
2012-09-21,cloudy,0,59.57,Overcast
2012-09-22,partly-cloudy-day,0,53.2,Partly Cloudy
2012-09-23,partly-cloudy-day,0,57.45,Mostly Cloudy
2012-10-03,rain,0.0075,62.94,Possible Drizzle
2013-04-05,partly-cloudy-day,0,43.66,Partly Cloudy
2013-04-07,partly-cloudy-day,0,55.36,Partly Cloudy
2013-04-08,partly-cloudy-day,0,60.63,Mostly Cloudy
2013-04-11,rain,0.0032,43.85,Possible Drizzle
2013-04-12,cloudy,0.0005,44.09,Overcast
2013-04-20,partly-cloudy-day,0,42.37,Mostly Cloudy
2013-04-21,partly-cloudy-day,0,48.6,Partly Cloudy
2013-04-22,partly-cloudy-day,0,63.38,Partly Cloudy
2013-04-25,partly-cloudy-day,0,47.38,Mostly Cloudy
2013-05-04,partly-cloudy-day,0,68.78,Partly Cloudy
2013-05-05,partly-cloudy-day,0,64.94,Partly Cloudy
2013-05-06,partly-cloudy-day,0,68.27,Partly Cloudy
2013-05-09,partly-cloudy-day,0,73.47,Mostly Cloudy
2013-05-18,partly-cloudy-day,0,77.32,Mostly Cloudy
2013-05-20,partly-cloudy-day,0,84.94,Partly Cloudy
2013-05-28,partly-cloudy-day,0,75.04,Mostly Cloudy
2013-05-29,partly-cloudy-day,0,78.05,Partly Cloudy
2013-05-30,partly-cloudy-day,0,82.63,Mostly Cloudy
2013-06-14,partly-cloudy-day,0,71.13,Partly Cloudy
2013-06-15,rain,0.0101,71.29,Drizzle
2013-06-27,partly-cloudy-day,0,87.58,Mostly Cloudy
2013-06-29,cloudy,0,65.59,Overcast
2013-06-30,partly-cloudy-day,0,72.46,Partly Cloudy
2013-07-01,partly-cloudy-day,0,71.94,Partly Cloudy
2013-07-14,partly-cloudy-day,0,84.76,Partly Cloudy
2013-07-15,partly-cloudy-day,0,84.39,Humid and Mostly Cloudy
2013-07-19,partly-cloudy-day,0,93.97,Partly Cloudy
2013-07-27,cloudy,0,63.9,Overcast
2013-07-28,partly-cloudy-day,0,65.4,Mostly Cloudy
2013-07-29,partly-cloudy-day,0,71.32,Mostly Cloudy
2013-08-01,partly-cloudy-day,0,78.53,Partly Cloudy
2013-08-10,partly-cloudy-day,0,79.19,Mostly Cloudy
2013-08-11,partly-cloudy-day,0,77.4,Mostly Cloudy
2013-08-12,partly-cloudy-day,0,82.99,Mostly Cloudy
2013-08-15,partly-cloudy-day,0,73.7,Mostly Cloudy
2013-08-24,partly-cloudy-day,0,83.41,Partly Cloudy
2013-08-25,clear-day,0,87.13,Clear
2013-08-26,partly-cloudy-day,0,88.59,Mostly Cloudy
2013-08-30,clear-day,0,92.46,Humid
2013-08-31,rain,0.0557,71.81,Light Rain
2013-09-01,partly-cloudy-day,0,80.48,Mostly Cloudy
2013-09-02,partly-cloudy-day,0,74.9,Mostly Cloudy
2013-09-14,partly-cloudy-day,0,68.12,Partly Cloudy
2013-09-15,rain,0.0342,58.49,Light Rain
2013-09-16,partly-cloudy-day,0,62.21,Mostly Cloudy
2013-09-20,partly-cloudy-day,0,75.25,Mostly Cloudy
2013-09-21,partly-cloudy-day,0,64.35,Mostly Cloudy
2013-09-22,partly-cloudy-day,0,64.22,Mostly Cloudy
2013-09-23,clear-day,0,64.25,Clear
2013-10-03,rain,0.0197,70.49,Light Rain
2014-04-04,cloudy,0,40.54,Overcast
2014-04-05,partly-cloudy-day,0,46.51,Partly Cloudy
2014-04-06,partly-cloudy-day,0,52.98,Partly Cloudy
2014-04-10,partly-cloudy-day,0,62.34,Mostly Cloudy
2014-04-18,clear-day,0,48.14,Clear
2014-04-19,partly-cloudy-day,0,56.92,Partly Cloudy
2014-04-20,partly-cloudy-day,0,73.3,Partly Cloudy
2014-04-23,partly-cloudy-day,0,47.5,Partly Cloudy
2014-04-24,partly-cloudy-day,0,61.38,Mostly Cloudy
2014-05-02,cloudy,0,50.24,Overcast
2014-05-03,partly-cloudy-day,0,63.36,Partly Cloudy
2014-05-16,rain,0.0089,40.4,Drizzle
2014-05-17,partly-cloudy-day,0,55.76,Mostly Cloudy
2014-05-18,partly-cloudy-day,0,67.01,Partly Cloudy
2014-05-21,clear-day,0,83.63,Clear
2014-06-06,clear-day,0,79.27,Clear
2014-06-07,partly-cloudy-day,0,82.34,Mostly Cloudy
2014-06-08,partly-cloudy-day,0,66.43,Mostly Cloudy
2014-06-20,partly-cloudy-day,0,80.36,Mostly Cloudy
2014-06-22,partly-cloudy-day,0,75.88,Mostly Cloudy
2014-06-27,partly-cloudy-day,0,85.6,Partly Cloudy
2014-06-28,partly-cloudy-day,0,84.91,Mostly Cloudy
2014-07-11,partly-cloudy-day,0,80.88,Partly Cloudy
2014-07-12,rain,0.0025,74.66,Possible Drizzle
2014-07-13,clear-day,0,81.27,Clear
2014-07-25,partly-cloudy-day,0,72.43,Mostly Cloudy
2014-07-26,partly-cloudy-day,0,80.44,Mostly Cloudy
2014-07-27,partly-cloudy-day,0,85.42,Partly Cloudy
2014-07-31,partly-cloudy-day,0,81.33,Partly Cloudy
2014-08-08,partly-cloudy-day,0,79.62,Partly Cloudy
2014-08-09,clear-day,0,77.1,Clear
2014-08-10,partly-cloudy-day,0,76.59,Mostly Cloudy
2014-08-14,clear-day,0,68.77,Clear
2014-08-22,partly-cloudy-day,0,81.14,Humid and Mostly Cloudy
2014-08-23,partly-cloudy-day,0,80.93,Humid and Mostly Cloudy
2014-08-24,partly-cloudy-day,0,84.26,Humid and Mostly Cloudy
2014-09-01,partly-cloudy-day,0,80.03,Mostly Cloudy
2014-09-05,partly-cloudy-day,0,85.88,Humid and Mostly Cloudy
2014-09-06,partly-cloudy-day,0,70.42,Partly Cloudy
2014-09-07,partly-cloudy-day,0,76.64,Partly Cloudy
2014-09-19,clear-day,0,72.41,Clear
2014-09-20,partly-cloudy-day,0,75.89,Partly Cloudy
2014-09-21,partly-cloudy-day,0,63.21,Mostly Cloudy
2015-04-08,cloudy,0,47.38,Overcast
2015-04-17,partly-cloudy-day,0,76.05,Partly Cloudy
2015-04-18,partly-cloudy-day,0,57.1,Mostly Cloudy
2015-04-19,partly-cloudy-day,0,67,Mostly Cloudy
2015-05-01,clear-day,0,63.46,Clear
2015-05-02,clear-day,0,74.68,Clear
2015-05-03,partly-cloudy-day,0,78.31,Mostly Cloudy
2015-05-14,partly-cloudy-day,0,62.44,Mostly Cloudy
2015-05-15,partly-cloudy-day,0,72.6,Mostly Cloudy
2015-05-16,partly-cloudy-day,0,74.52,Mostly Cloudy
2015-05-17,cloudy,0,77.91,Overcast
2015-05-25,rain,0.0215,72.39,Light Rain
2015-05-29,rain,0.0503,77.15,Light Rain
2015-05-31,cloudy,0,51.78,Overcast
2015-06-12,rain,0.0144,59.8,Drizzle
2015-06-25,cloudy,0,76.55,Overcast
2015-07-03,partly-cloudy-day,0,74.77,Mostly Cloudy
2015-07-05,partly-cloudy-day,0,82.34,Partly Cloudy
2015-07-07,partly-cloudy-day,0,66.29,Partly Cloudy
2015-07-10,partly-cloudy-day,0,77.55,Partly Cloudy
2015-07-11,partly-cloudy-day,0,78.45,Mostly Cloudy
2015-07-12,partly-cloudy-day,0,79.35,Mostly Cloudy
2015-07-24,partly-cloudy-day,0,85.06,Partly Cloudy
2015-07-25,partly-cloudy-day,0,87.86,Humid and Mostly Cloudy
2015-07-26,partly-cloudy-day,0,77.65,Mostly Cloudy
2015-07-29,partly-cloudy-day,0,85.83,Mostly Cloudy
2015-08-07,partly-cloudy-day,0,80.32,Partly Cloudy
2015-08-08,partly-cloudy-day,0,78.69,Mostly Cloudy
2015-08-09,partly-cloudy-day,0,76.94,Mostly Cloudy
2015-08-13,partly-cloudy-day,0,83.25,Partly Cloudy
2015-08-21,clear-day,0,80.93,Clear
2015-08-22,partly-cloudy-day,0,80.36,Partly Cloudy
2015-08-23,partly-cloudy-day,0,73.99,Mostly Cloudy
2015-08-24,partly-cloudy-day,0,72.28,Partly Cloudy
2015-09-02,partly-cloudy-day,0,89.02,Partly Cloudy
2015-09-04,partly-cloudy-day,0,80.57,Partly Cloudy
2015-09-05,partly-cloudy-day,0,80.53,Mostly Cloudy
2015-09-06,partly-cloudy-day,0,90.29,Partly Cloudy
2015-09-18,cloudy,0,75.06,Overcast
2015-09-19,partly-cloudy-day,0,66.54,Mostly Cloudy
2015-09-20,partly-cloudy-day,0,69.77,Mostly Cloudy
2015-09-25,partly-cloudy-day,0,71.73,Partly Cloudy
2015-09-26,partly-cloudy-day,0,73.9,Partly Cloudy
2016-04-08,rain,0.0048,40.53,Possible Drizzle
2016-04-17,clear-day,0,76.69,Clear
2016-04-18,partly-cloudy-day,0,81.88,Partly Cloudy
2016-04-19,partly-cloudy-day,0,55.27,Partly Cloudy
2016-05-01,cloudy,0,46.34,Overcast
2016-05-02,partly-cloudy-day,0,55.51,Partly Cloudy
2016-05-03,partly-cloudy-day,0,64.66,Mostly Cloudy
2016-05-14,cloudy,0,45.75,Overcast
2016-05-15,partly-cloudy-day,0,49.46,Mostly Cloudy
2016-05-16,partly-cloudy-day,0,68.76,Partly Cloudy
2016-05-17,cloudy,0,50.1,Overcast
2016-05-25,partly-cloudy-day,0,83.5,Mostly Cloudy
2016-05-29,partly-cloudy-day,0,76.71,Mostly Cloudy
2016-05-31,partly-cloudy-day,0,82.29,Mostly Cloudy
2016-06-12,partly-cloudy-day,0,66.45,Mostly Cloudy
2016-06-25,partly-cloudy-day,0,87.03,Partly Cloudy
2016-07-03,partly-cloudy-day,0,74.66,Mostly Cloudy
2016-07-05,partly-cloudy-day,0,82.84,Mostly Cloudy
2016-07-07,cloudy,0,80.85,Overcast
2016-07-10,partly-cloudy-day,0,80.07,Mostly Cloudy
2016-07-11,partly-cloudy-day,0,88.89,Humid and Mostly Cloudy
2016-07-12,partly-cloudy-day,0,88.27,Humid and Partly Cloudy
2016-07-24,partly-cloudy-day,0,89.57,Humid and Mostly Cloudy
2016-07-25,partly-cloudy-day,0,84.35,Partly Cloudy
2016-07-26,partly-cloudy-day,0,84.88,Mostly Cloudy
2016-07-29,partly-cloudy-day,0,78.13,Mostly Cloudy
2016-08-07,partly-cloudy-day,0,80.66,Mostly Cloudy
2016-08-08,partly-cloudy-day,0,82,Partly Cloudy
2016-08-09,partly-cloudy-day,0,86.31,Partly Cloudy
2016-08-13,partly-cloudy-day,0,82.28,Humid and Mostly Cloudy
2016-08-21,partly-cloudy-day,0,71.6,Mostly Cloudy
2016-08-22,partly-cloudy-day,0,76.81,Partly Cloudy
2016-08-23,partly-cloudy-day,0,79.65,Mostly Cloudy
2016-08-24,rain,0.0052,77.08,Possible Drizzle and Humid
2016-09-02,partly-cloudy-day,0,72.61,Partly Cloudy
2016-09-04,partly-cloudy-day,0,78.33,Mostly Cloudy
2016-09-05,partly-cloudy-day,0,85.59,Mostly Cloudy
2016-09-06,partly-cloudy-day,0,90.22,Humid and Partly Cloudy
2016-09-18,partly-cloudy-day,0,75.55,Partly Cloudy
2016-09-19,clear-day,0,84.76,Clear
2016-09-20,clear-day,0,80.02,Clear
2016-09-25,partly-cloudy-day,0,81.68,Partly Cloudy
2016-09-26,clear-day,0,67.51,Clear
2017-04-13,cloudy,0,51.35,Overcast
2017-04-14,partly-cloudy-day,0,61.19,Partly Cloudy
2017-04-15,partly-cloudy-day,0,79.22,Partly Cloudy
2017-04-16,partly-cloudy-day,0,69.54,Mostly Cloudy
2017-04-19,rain,0.0368,54.89,Light Rain
2017-05-04,cloudy,0,48.96,Overcast
2017-05-05,partly-cloudy-day,0,50.86,Partly Cloudy
2017-05-18,partly-cloudy-day,0,75.45,Partly Cloudy
2017-05-19,cloudy,0,44.96,Overcast
2017-05-21,cloudy,0,61.88,Overcast
2017-05-25,cloudy,0,64.04,Overcast
2017-06-02,clear-day,0,82.61,Clear
2017-06-03,partly-cloudy-day,0,78.58,Partly Cloudy
2017-06-09,clear-day,0,84.22,Clear
2017-06-10,clear-day,0,85.92,Clear
2017-06-11,partly-cloudy-day,0,88.48,Partly Cloudy
2017-06-21,partly-cloudy-day,0,75.05,Mostly Cloudy
2017-07-04,partly-cloudy-day,0,79.86,Mostly Cloudy
2017-07-05,partly-cloudy-day,0,84.69,Mostly Cloudy
2017-07-06,partly-cloudy-day,0,88.66,Partly Cloudy
2017-07-07,partly-cloudy-day,0,82.66,Mostly Cloudy
2017-07-09,partly-cloudy-day,0,83.15,Mostly Cloudy
2017-07-21,partly-cloudy-day,0,85.79,Humid and Mostly Cloudy
2017-07-22,partly-cloudy-day,0,81.44,Mostly Cloudy
2017-07-24,cloudy,0,71.16,Overcast
2017-07-25,clear-day,0,78.23,Clear
2017-08-03,partly-cloudy-day,0.007,79.26,Mostly Cloudy
2017-08-04,cloudy,0,61.27,Overcast
2017-08-05,partly-cloudy-day,0,77.39,Mostly Cloudy
2017-08-06,partly-cloudy-day,0,74.16,Mostly Cloudy
2017-08-17,partly-cloudy-day,0,79.97,Mostly Cloudy
2017-08-18,partly-cloudy-day,0,77.1,Mostly Cloudy
2017-08-19,clear-day,0,79.23,Clear
2017-08-20,partly-cloudy-day,0,86.09,Mostly Cloudy
2017-09-01,partly-cloudy-day,0,65.76,Partly Cloudy
2017-09-02,partly-cloudy-day,0,69.66,Partly Cloudy
2017-09-03,partly-cloudy-day,0,79.46,Partly Cloudy
2017-09-09,clear-day,0,68.09,Clear
2017-09-10,clear-day,0,67.06,Clear
2017-09-15,clear-day,0,84.34,Clear
2017-09-16,partly-cloudy-day,0,85.23,Partly Cloudy
2017-09-17,partly-cloudy-day,0,84.73,Mostly Cloudy
2017-09-29,partly-cloudy-day,0,66.39,Partly Cloudy
2017-09-30,clear-day,0,63.66,Clear
2017-10-01,partly-cloudy-day,0,66.68,Partly Cloudy
2018-04-10,partly-cloudy-day,0,43.34,Mostly Cloudy
2018-04-12,partly-cloudy-day,0,72.09,Partly Cloudy
2018-04-13,cloudy,0,43.37,Overcast
2018-04-14,rain,0.0027,37.99,Possible Drizzle
2018-04-19,clear-day,0.0008,47.84,Clear
2018-04-27,clear-day,0,54.2,Clear
2018-04-28,partly-cloudy-day,0,47.77,Partly Cloudy
2018-04-29,clear-day,0,53.15,Clear
2018-05-02,partly-cloudy-day,0,82.7,Partly Cloudy
2018-05-09,partly-cloudy-day,0,76.54,Mostly Cloudy
2018-05-11,cloudy,0.0022,48.63,Overcast
2018-05-12,cloudy,0,48.87,Overcast
2018-05-13,partly-cloudy-day,0,59.41,Mostly Cloudy
2018-05-14,partly-cloudy-day,0,74.63,Partly Cloudy
2018-05-25,partly-cloudy-day,0,87.27,Partly Cloudy
2018-06-07,clear-day,0,76.16,Clear
2018-06-08,cloudy,0.0066,66.67,Overcast
2018-06-09,partly-cloudy-day,0,69.02,Mostly Cloudy
2018-06-10,cloudy,0.0039,64.61,Overcast
2018-06-19,partly-cloudy-day,0,76.64,Mostly Cloudy
2018-06-20,cloudy,0,72.5,Overcast
2018-06-29,clear-day,0,90.92,Humid
2018-06-30,partly-cloudy-day,0,91.73,Humid and Mostly Cloudy
2018-07-01,partly-cloudy-day,0,90.27,Humid and Mostly Cloudy
2018-07-03,partly-cloudy-day,0,87.18,Partly Cloudy
2018-07-04,partly-cloudy-day,0,87.57,Humid and Mostly Cloudy
2018-07-06,clear-day,0,73.64,Clear
2018-07-07,clear-day,0,77.19,Clear
2018-07-08,clear-day,0,80.34,Clear
2018-07-20,cloudy,0.0049,73.13,Overcast
2018-07-21,cloudy,0,70.72,Overcast
2018-07-22,cloudy,0.0006,72.17,Overcast
2018-07-25,clear-day,0,82.37,Clear
2018-07-26,partly-cloudy-day,0,78.2,Mostly Cloudy
